step,north_queue,south_queue,east_queue,west_queue,emergency_active,phase
895,5,3,0,0,False,2
896,5,4,0,0,False,2
897,5,4,0,0,False,2
898,5,4,0,0,False,2
899,6,4,0,0,False,2
900,6,4,0,0,False,2
901,6,4,0,0,False,2
902,6,4,0,0,False,2
903,6,4,0,0,False,2
904,6,5,0,0,False,2
905,6,5,0,0,False,2
906,6,5,0,0,False,2
907,6,5,0,0,False,2
908,6,5,0,0,False,3
909,6,5,0,0,False,3
910,6,5,0,0,False,3
911,5,4,0,0,False,0
912,4,3,0,0,False,0
913,3,2,0,0,False,0
914,2,1,0,0,False,0
915,1,0,0,0,False,0
916,0,0,0,0,False,0
917,0,0,0,0,False,0
918,0,0,0,0,False,0
919,0,0,0,0,False,0
920,0,0,0,0,False,0
921,0,0,0,0,False,0
922,0,0,0,0,False,0
923,0,0,0,0,False,0
924,0,0,0,0,False,0
925,0,0,0,0,False,0
926,0,0,0,0,False,0
927,0,0,0,0,False,0
928,0,0,0,0,False,0
929,0,0,0,0,False,0
930,0,0,0,0,False,0
931,0,0,0,0,False,0
